rebalance_date,ticker,target_weight
2020-01-31,NVDA,0.05
2020-01-31,GOOGL,0.05
2020-01-31,TSLA,0.05
2020-01-31,AVGO,0.05
2020-01-31,AMZN,0.05
2020-01-31,GS,0.05
2020-01-31,AAPL,0.05
2020-01-31,MS,0.05
2020-01-31,V,0.05
2020-01-31,MA,0.05
2020-01-31,CRM,0.05
2020-01-31,NFLX,0.05
2020-01-31,PEP,0.05
2020-01-31,KO,0.05
2020-01-31,AXP,0.05
2020-01-31,LLY,0.05
2020-01-31,JNJ,0.05
2020-01-31,MSFT,0.05
2020-01-31,COST,0.05
2020-01-31,MCD,0.05
2020-02-28,NVDA,0.05
2020-02-28,AVGO,0.05
2020-02-28,GOOGL,0.05
2020-02-28,TSLA,0.05
2020-02-28,AMZN,0.05
2020-02-28,NFLX,0.05
2020-02-28,ABBV,0.05
2020-02-28,META,0.05
2020-02-28,WFC,0.05
2020-02-28,WMT,0.05
2020-02-28,AAPL,0.05
2020-02-28,MA,0.05
2020-02-28,SPY,0.05
2020-02-28,BAC,0.05
2020-02-28,ADBE,0.05
2020-02-28,CAT,0.05
2020-02-28,V,0.05
2020-02-28,GS,0.05
2020-02-28,MSFT,0.05
2020-02-28,PEP,0.05
2020-03-31,NVDA,0.05
2020-03-31,AVGO,0.05
2020-03-31,GOOGL,0.05
2020-03-31,AMZN,0.05
2020-03-31,NFLX,0.05
2020-03-31,AAPL,0.05
2020-03-31,LLY,0.05
2020-03-31,JNJ,0.05
2020-03-31,WMT,0.05
2020-03-31,MSFT,0.05
2020-03-31,ORCL,0.05
2020-03-31,UNH,0.05
2020-03-31,V,0.05
2020-03-31,COST,0.05
2020-03-31,PG,0.05
2020-03-31,MA,0.05
2020-03-31,ADBE,0.05
2020-03-31,META,0.05
2020-03-31,PEP,0.05
2020-03-31,AMD,0.05
2020-04-30,NVDA,0.05
2020-04-30,GOOGL,0.05
2020-04-30,AVGO,0.05
2020-04-30,AMZN,0.05
2020-04-30,TSLA,0.05
2020-04-30,META,0.05
2020-04-30,AAPL,0.05
2020-04-30,CVX,0.05
2020-04-30,COP,0.05
2020-04-30,UNH,0.05
2020-04-30,NFLX,0.05
2020-04-30,QCOM,0.05
2020-04-30,MA,0.05
2020-04-30,XOM,0.05
2020-04-30,GS,0.05
2020-04-30,V,0.05
2020-04-30,JNJ,0.05
2020-04-30,MSFT,0.05
2020-04-30,AMD,0.05
2020-04-30,TMO,0.05
2020-05-29,NVDA,0.05
2020-05-29,GOOGL,0.05
2020-05-29,AVGO,0.05
2020-05-29,META,0.05
2020-05-29,MS,0.05
2020-05-29,CSCO,0.05
2020-05-29,AAPL,0.05
2020-05-29,AMZN,0.05
2020-05-29,GS,0.05
2020-05-29,TSLA,0.05
2020-05-29,LLY,0.05
2020-05-29,V,0.05
2020-05-29,MA,0.05
2020-05-29,ADBE,0.05
2020-05-29,UNH,0.05
2020-05-29,SPY,0.05
2020-05-29,NFLX,0.05
2020-05-29,WMT,0.05
2020-05-29,QCOM,0.05
2020-05-29,MSFT,0.05
2020-06-30,NVDA,0.05
2020-06-30,TSLA,0.05
2020-06-30,AVGO,0.05
2020-06-30,GOOGL,0.05
2020-06-30,AAPL,0.05
2020-06-30,AMZN,0.05
2020-06-30,MS,0.05
2020-06-30,QCOM,0.05
2020-06-30,LLY,0.05
2020-06-30,ADBE,0.05
2020-06-30,GS,0.05
2020-06-30,META,0.05
2020-06-30,MSFT,0.05
2020-06-30,NFLX,0.05
2020-06-30,CRM,0.05
2020-06-30,BAC,0.05
2020-06-30,COP,0.05
2020-06-30,WFC,0.05
2020-06-30,V,0.05
2020-06-30,SPY,0.05
2020-07-31,NVDA,0.05
2020-07-31,GOOGL,0.05
2020-07-31,TSLA,0.05
2020-07-31,AVGO,0.05
2020-07-31,AMD,0.05
2020-07-31,AAPL,0.05
2020-07-31,QCOM,0.05
2020-07-31,AMZN,0.05
2020-07-31,MS,0.05
2020-07-31,META,0.05
2020-07-31,BAC,0.05
2020-07-31,GS,0.05
2020-07-31,WFC,0.05
2020-07-31,TMO,0.05
2020-07-31,SPY,0.05
2020-07-31,JPM,0.05
2020-07-31,CAT,0.05
2020-07-31,PG,0.05
2020-07-31,MA,0.05
2020-07-31,WMT,0.05
2020-08-31,TSLA,0.05
2020-08-31,GOOGL,0.05
2020-08-31,NVDA,0.05
2020-08-31,AVGO,0.05
2020-08-31,AAPL,0.05
2020-08-31,CRM,0.05
2020-08-31,META,0.05
2020-08-31,AMZN,0.05
2020-08-31,AMD,0.05
2020-08-31,WFC,0.05
2020-08-31,QCOM,0.05
2020-08-31,MS,0.05
2020-08-31,GS,0.05
2020-08-31,MA,0.05
2020-08-31,V,0.05
2020-08-31,BAC,0.05
2020-08-31,ABBV,0.05
2020-08-31,ADBE,0.05
2020-08-31,COP,0.05
2020-08-31,NFLX,0.05
2020-09-30,AVGO,0.05
2020-09-30,NVDA,0.05
2020-09-30,GOOGL,0.05
2020-09-30,WFC,0.05
2020-09-30,QCOM,0.05
2020-09-30,GS,0.05
2020-09-30,TSLA,0.05
2020-09-30,ORCL,0.05
2020-09-30,CAT,0.05
2020-09-30,BAC,0.05
2020-09-30,MCD,0.05
2020-09-30,JPM,0.05
2020-09-30,LLY,0.05
2020-09-30,KO,0.05
2020-09-30,TMO,0.05
2020-09-30,PEP,0.05
2020-09-30,MS,0.05
2020-09-30,COST,0.05
2020-09-30,AXP,0.05
2020-09-30,AMD,0.05
2020-10-30,GOOGL,0.05
2020-10-30,AVGO,0.05
2020-10-30,NVDA,0.05
2020-10-30,QCOM,0.05
2020-10-30,CAT,0.05
2020-10-30,TMO,0.05
2020-10-30,MS,0.05
2020-10-30,JPM,0.05
2020-10-30,META,0.05
2020-10-30,ABBV,0.05
2020-10-30,TSLA,0.05
2020-10-30,BAC,0.05
2020-10-30,WFC,0.05
2020-10-30,WMT,0.05
2020-10-30,GS,0.05
2020-10-30,SPY,0.05
2020-10-30,AMZN,0.05
2020-10-30,ORCL,0.05
2020-10-30,COST,0.05
2020-10-30,XOM,0.05
2020-11-30,GOOGL,0.05
2020-11-30,TSLA,0.05
2020-11-30,AVGO,0.05
2020-11-30,WFC,0.05
2020-11-30,COP,0.05
2020-11-30,HD,0.05
2020-11-30,NVDA,0.05
2020-11-30,MS,0.05
2020-11-30,GS,0.05
2020-11-30,JPM,0.05
2020-11-30,CVX,0.05
2020-11-30,BAC,0.05
2020-11-30,AXP,0.05
2020-11-30,QCOM,0.05
2020-11-30,XOM,0.05
2020-11-30,ABBV,0.05
2020-11-30,CAT,0.05
2020-11-30,CSCO,0.05
2020-11-30,AMD,0.05
2020-11-30,V,0.05
2020-12-31,TSLA,0.05
2020-12-31,GOOGL,0.05
2020-12-31,AVGO,0.05
2020-12-31,GS,0.05
2020-12-31,WFC,0.05
2020-12-31,MS,0.05
2020-12-31,HD,0.05
2020-12-31,LLY,0.05
2020-12-31,BAC,0.05
2020-12-31,XOM,0.05
2020-12-31,NVDA,0.05
2020-12-31,COP,0.05
2020-12-31,JPM,0.05
2020-12-31,ORCL,0.05
2020-12-31,AMZN,0.05
2020-12-31,NFLX,0.05
2020-12-31,ABBV,0.05
2020-12-31,CAT,0.05
2020-12-31,AAPL,0.05
2020-12-31,JNJ,0.05
2021-01-29,GOOGL,0.05
2021-01-29,TSLA,0.05
2021-01-29,AVGO,0.05
2021-01-29,LLY,0.05
2021-01-29,HD,0.05
2021-01-29,WFC,0.05
2021-01-29,NVDA,0.05
2021-01-29,GS,0.05
2021-01-29,XOM,0.05
2021-01-29,COP,0.05
2021-01-29,JPM,0.05
2021-01-29,BAC,0.05
2021-01-29,MS,0.05
2021-01-29,CVX,0.05
2021-01-29,JNJ,0.05
2021-01-29,AMZN,0.05
2021-01-29,CSCO,0.05
2021-01-29,QCOM,0.05
2021-01-29,TMO,0.05
2021-01-29,AXP,0.05
2021-02-26,GOOGL,0.05
2021-02-26,NVDA,0.05
2021-02-26,WFC,0.05
2021-02-26,AVGO,0.05
2021-02-26,XOM,0.05
2021-02-26,GS,0.05
2021-02-26,COP,0.05
2021-02-26,HD,0.05
2021-02-26,BAC,0.05
2021-02-26,JPM,0.05
2021-02-26,CVX,0.05
2021-02-26,MS,0.05
2021-02-26,CAT,0.05
2021-02-26,AXP,0.05
2021-02-26,LLY,0.05
2021-02-26,V,0.05
2021-02-26,AMZN,0.05
2021-02-26,MA,0.05
2021-02-26,ORCL,0.05
2021-02-26,SPY,0.05
2021-03-31,GOOGL,0.05
2021-03-31,HD,0.05
2021-03-31,NVDA,0.05
2021-03-31,AVGO,0.05
2021-03-31,WFC,0.05
2021-03-31,META,0.05
2021-03-31,BAC,0.05
2021-03-31,CSCO,0.05
2021-03-31,XOM,0.05
2021-03-31,COP,0.05
2021-03-31,CAT,0.05
2021-03-31,CVX,0.05
2021-03-31,PEP,0.05
2021-03-31,ORCL,0.05
2021-03-31,GS,0.05
2021-03-31,UNH,0.05
2021-03-31,AMZN,0.05
2021-03-31,SPY,0.05
2021-03-31,JPM,0.05
2021-03-31,JNJ,0.05
2021-04-30,GOOGL,0.05
2021-04-30,NVDA,0.05
2021-04-30,WFC,0.05
2021-04-30,HD,0.05
2021-04-30,META,0.05
2021-04-30,AMZN,0.05
2021-04-30,GS,0.05
2021-04-30,ORCL,0.05
2021-04-30,AVGO,0.05
2021-04-30,V,0.05
2021-04-30,BAC,0.05
2021-04-30,AXP,0.05
2021-04-30,UNH,0.05
2021-04-30,XOM,0.05
2021-04-30,MS,0.05
2021-04-30,MA,0.05
2021-04-30,SPY,0.05
2021-04-30,JPM,0.05
2021-04-30,CVX,0.05
2021-04-30,AAPL,0.05
2021-05-28,NVDA,0.05
2021-05-28,GOOGL,0.05
2021-05-28,HD,0.05
2021-05-28,AVGO,0.05
2021-05-28,WFC,0.05
2021-05-28,META,0.05
2021-05-28,ORCL,0.05
2021-05-28,MS,0.05
2021-05-28,GS,0.05
2021-05-28,BAC,0.05
2021-05-28,LLY,0.05
2021-05-28,UNH,0.05
2021-05-28,CSCO,0.05
2021-05-28,JPM,0.05
2021-05-28,COP,0.05
2021-05-28,JNJ,0.05
2021-05-28,CAT,0.05
2021-05-28,PEP,0.05
2021-05-28,WMT,0.05
2021-05-28,AXP,0.05
2021-06-30,NVDA,0.05
2021-06-30,GOOGL,0.05
2021-06-30,LLY,0.05
2021-06-30,AVGO,0.05
2021-06-30,HD,0.05
2021-06-30,ADBE,0.05
2021-06-30,AMZN,0.05
2021-06-30,META,0.05
2021-06-30,COP,0.05
2021-06-30,WFC,0.05
2021-06-30,GS,0.05
2021-06-30,AMD,0.05
2021-06-30,AAPL,0.05
2021-06-30,MRK,0.05
2021-06-30,XOM,0.05
2021-06-30,MS,0.05
2021-06-30,V,0.05
2021-06-30,QCOM,0.05
2021-06-30,MSFT,0.05
2021-06-30,ORCL,0.05
2021-07-30,GOOGL,0.05
2021-07-30,AVGO,0.05
2021-07-30,NVDA,0.05
2021-07-30,LLY,0.05
2021-07-30,HD,0.05
2021-07-30,ORCL,0.05
2021-07-30,AMD,0.05
2021-07-30,ADBE,0.05
2021-07-30,QCOM,0.05
2021-07-30,MS,0.05
2021-07-30,AAPL,0.05
2021-07-30,V,0.05
2021-07-30,AMZN,0.05
2021-07-30,COST,0.05
2021-07-30,WMT,0.05
2021-07-30,PEP,0.05
2021-07-30,MSFT,0.05
2021-07-30,CSCO,0.05
2021-07-30,MA,0.05
2021-07-30,KO,0.05
2021-08-31,GOOGL,0.05
2021-08-31,AVGO,0.05
2021-08-31,NVDA,0.05
2021-08-31,HD,0.05
2021-08-31,NFLX,0.05
2021-08-31,AMZN,0.05
2021-08-31,META,0.05
2021-08-31,MS,0.05
2021-08-31,GS,0.05
2021-08-31,ADBE,0.05
2021-08-31,BAC,0.05
2021-08-31,WMT,0.05
2021-08-31,AAPL,0.05
2021-08-31,TSLA,0.05
2021-08-31,CRM,0.05
2021-08-31,MSFT,0.05
2021-08-31,COST,0.05
2021-08-31,TMO,0.05
2021-08-31,CSCO,0.05
2021-08-31,SPY,0.05
2021-09-30,GOOGL,0.05
2021-09-30,AVGO,0.05
2021-09-30,COP,0.05
2021-09-30,ORCL,0.05
2021-09-30,HD,0.05
2021-09-30,TSLA,0.05
2021-09-30,NFLX,0.05
2021-09-30,WFC,0.05
2021-09-30,BAC,0.05
2021-09-30,JPM,0.05
2021-09-30,XOM,0.05
2021-09-30,CVX,0.05
2021-09-30,WMT,0.05
2021-09-30,MS,0.05
2021-09-30,AMZN,0.05
2021-09-30,TMO,0.05
2021-09-30,CRM,0.05
2021-09-30,COST,0.05
2021-09-30,GS,0.05
2021-09-30,MCD,0.05
2021-10-29,GOOGL,0.05
2021-10-29,AVGO,0.05
2021-10-29,TSLA,0.05
2021-10-29,HD,0.05
2021-10-29,ORCL,0.05
2021-10-29,NFLX,0.05
2021-10-29,NVDA,0.05
2021-10-29,AMZN,0.05
2021-10-29,BAC,0.05
2021-10-29,COP,0.05
2021-10-29,WMT,0.05
2021-10-29,WFC,0.05
2021-10-29,UNH,0.05
2021-10-29,GS,0.05
2021-10-29,CVX,0.05
2021-10-29,MRK,0.05
2021-10-29,MSFT,0.05
2021-10-29,XOM,0.05
2021-10-29,JPM,0.05
2021-10-29,MS,0.05
2021-11-30,GOOGL,0.05
2021-11-30,AVGO,0.05
2021-11-30,HD,0.05
2021-11-30,NVDA,0.05
2021-11-30,AMZN,0.05
2021-11-30,QCOM,0.05
2021-11-30,AMD,0.05
2021-11-30,ORCL,0.05
2021-11-30,CVX,0.05
2021-11-30,TSLA,0.05
2021-11-30,NFLX,0.05
2021-11-30,COST,0.05
2021-11-30,AAPL,0.05
2021-11-30,WFC,0.05
2021-11-30,WMT,0.05
2021-11-30,COP,0.05
2021-11-30,BAC,0.05
2021-11-30,JPM,0.05
2021-11-30,XOM,0.05
2021-11-30,GS,0.05
2021-12-31,AVGO,0.05
2021-12-31,GOOGL,0.05
2021-12-31,HD,0.05
2021-12-31,AMZN,0.05
2021-12-31,WMT,0.05
2021-12-31,ABBV,0.05
2021-12-31,UNH,0.05
2021-12-31,QCOM,0.05
2021-12-31,CSCO,0.05
2021-12-31,LLY,0.05
2021-12-31,AAPL,0.05
2021-12-31,MA,0.05
2021-12-31,V,0.05
2021-12-31,PG,0.05
2021-12-31,JNJ,0.05
2021-12-31,KO,0.05
2021-12-31,COST,0.05
2021-12-31,CVX,0.05
2021-12-31,NVDA,0.05
2021-12-31,PEP,0.05
2022-01-31,GOOGL,0.05
2022-01-31,AVGO,0.05
2022-01-31,CVX,0.05
2022-01-31,HD,0.05
2022-01-31,XOM,0.05
2022-01-31,COP,0.05
2022-01-31,AMZN,0.05
2022-01-31,MA,0.05
2022-01-31,WFC,0.05
2022-01-31,V,0.05
2022-01-31,QCOM,0.05
2022-01-31,WMT,0.05
2022-01-31,MS,0.05
2022-01-31,ABBV,0.05
2022-01-31,AAPL,0.05
2022-01-31,JNJ,0.05
2022-01-31,BAC,0.05
2022-01-31,AXP,0.05
2022-01-31,KO,0.05
2022-01-31,PG,0.05
2022-02-28,GOOGL,0.05
2022-02-28,AVGO,0.05
2022-02-28,AMZN,0.05
2022-02-28,COP,0.05
2022-02-28,CVX,0.05
2022-02-28,XOM,0.05
2022-02-28,AXP,0.05
2022-02-28,WFC,0.05
2022-02-28,ABBV,0.05
2022-02-28,WMT,0.05
2022-02-28,HD,0.05
2022-02-28,V,0.05
2022-02-28,KO,0.05
2022-02-28,BAC,0.05
2022-02-28,GS,0.05
2022-02-28,MA,0.05
2022-02-28,LLY,0.05
2022-02-28,JPM,0.05
2022-02-28,QCOM,0.05
2022-02-28,UNH,0.05
2022-03-31,GOOGL,0.05
2022-03-31,AVGO,0.05
2022-03-31,AMZN,0.05
2022-03-31,TSLA,0.05
2022-03-31,WMT,0.05
2022-03-31,COP,0.05
2022-03-31,CVX,0.05
2022-03-31,XOM,0.05
2022-03-31,V,0.05
2022-03-31,ABBV,0.05
2022-03-31,NVDA,0.05
2022-03-31,CAT,0.05
2022-03-31,LLY,0.05
2022-03-31,MRK,0.05
2022-03-31,JNJ,0.05
2022-03-31,WFC,0.05
2022-03-31,AXP,0.05
2022-03-31,MA,0.05
2022-03-31,COST,0.05
2022-03-31,GS,0.05
2022-04-29,GOOGL,0.05
2022-04-29,WMT,0.05
2022-04-29,JNJ,0.05
2022-04-29,AVGO,0.05
2022-04-29,AMZN,0.05
2022-04-29,MRK,0.05
2022-04-29,XOM,0.05
2022-04-29,LLY,0.05
2022-04-29,CVX,0.05
2022-04-29,KO,0.05
2022-04-29,PG,0.05
2022-04-29,COP,0.05
2022-04-29,UNH,0.05
2022-04-29,GS,0.05
2022-04-29,PEP,0.05
2022-04-29,MCD,0.05
2022-04-29,MA,0.05
2022-04-29,V,0.05
2022-04-29,WFC,0.05
2022-04-29,CAT,0.05
2022-05-31,GOOGL,0.05
2022-05-31,COP,0.05
2022-05-31,CVX,0.05
2022-05-31,AMZN,0.05
2022-05-31,AVGO,0.05
2022-05-31,XOM,0.05
2022-05-31,LLY,0.05
2022-05-31,NFLX,0.05
2022-05-31,GS,0.05
2022-05-31,MRK,0.05
2022-05-31,JPM,0.05
2022-05-31,MS,0.05
2022-05-31,V,0.05
2022-05-31,JNJ,0.05
2022-05-31,WFC,0.05
2022-05-31,MA,0.05
2022-05-31,AMD,0.05
2022-05-31,CAT,0.05
2022-05-31,BAC,0.05
2022-05-31,TMO,0.05
2022-06-30,GOOGL,0.05
2022-06-30,JNJ,0.05
2022-06-30,LLY,0.05
2022-06-30,AMZN,0.05
2022-06-30,NFLX,0.05
2022-06-30,MRK,0.05
2022-06-30,UNH,0.05
2022-06-30,ABBV,0.05
2022-06-30,GS,0.05
2022-06-30,AVGO,0.05
2022-06-30,KO,0.05
2022-06-30,PEP,0.05
2022-06-30,WMT,0.05
2022-06-30,MCD,0.05
2022-06-30,PG,0.05
2022-06-30,V,0.05
